Ball,Times drawn (excluding Plus),Last time drawn,Times drawn in Plus,Last time drawn in Plus
1,452,11/28/2020,18,12/02/2020
2,479,11/11/2020,14,11/11/2020
3,481,11/25/2020,23,11/18/2020
4,467,11/18/2020,17,10/28/2020
5,462,11/28/2020,19,09/30/2020
6,414,10/31/2020,26,12/02/2020
7,478,11/18/2020,26,12/02/2020
8,427,11/14/2020,20,11/18/2020
9,482,11/18/2020,17,11/11/2020
10,489,11/14/2020,22,10/24/2020
11,480,08/15/2020,14,11/14/2020
12,463,11/11/2020,12,10/07/2020
13,454,11/21/2020,20,11/14/2020
14,482,11/18/2020,21,11/28/2020
15,466,11/18/2020,20,11/18/2020
16,466,11/14/2020,15,11/25/2020
17,496,11/07/2020,19,12/02/2020
18,491,11/21/2020,18,11/25/2020
19,469,10/21/2020,15,11/25/2020
20,464,11/04/2020,20,11/18/2020
21,471,11/25/2020,14,08/12/2020
22,462,12/02/2020,22,11/21/2020
23,466,11/28/2020,20,10/31/2020
24,450,10/31/2020,14,11/04/2020
25,476,11/28/2020,22,11/21/2020
26,451,11/11/2020,27,11/28/2020
27,449,12/02/2020,19,11/21/2020
28,436,12/02/2020,20,10/21/2020
29,486,12/02/2020,21,10/28/2020
30,472,11/25/2020,17,11/07/2020
31,439,10/14/2020,13,12/02/2020
32,432,11/11/2020,22,12/02/2020
33,494,12/02/2020,17,10/10/2020
34,506,11/11/2020,24,11/18/2020
35,437,11/07/2020,18,11/28/2020
36,471,12/02/2020,19,11/14/2020
37,460,11/25/2020,14,11/14/2020
38,456,10/17/2020,17,11/04/2020
39,453,10/28/2020,9,11/28/2020
40,456,11/28/2020,19,11/28/2020
41,418,09/18/2019,0,--
42,431,09/11/2019,0,--