Ball,Times drawn (excluding Mega Ball),Last time drawn,Times drawn as Mega Ball,Last time drawn as Mega Ball
1,77,06/09/2020,52,10/27/2020
2,98,08/04/2020,39,06/12/2020
3,92,09/11/2020,46,08/07/2020
4,94,08/18/2020,49,05/26/2020
5,72,10/09/2020,38,05/12/2020
6,85,10/27/2020,51,06/26/2020
7,70,09/08/2020,55,06/19/2020
8,83,08/25/2020,39,06/02/2020
9,81,10/02/2020,56,08/11/2020
10,98,09/08/2020,53,10/20/2020
11,102,10/13/2020,52,09/18/2020
12,86,07/31/2020,42,10/16/2020
13,81,10/27/2020,45,10/09/2020
14,88,09/29/2020,47,08/21/2020
15,82,10/06/2020,51,07/21/2020
16,81,10/06/2020,17,09/25/2020
17,98,08/25/2020,19,10/06/2020
18,80,10/23/2020,16,07/07/2020
19,73,09/04/2020,25,09/29/2020
20,105,09/25/2020,26,08/04/2020
21,73,07/17/2020,19,09/08/2020
22,78,09/04/2020,23,10/23/2020
23,80,06/16/2020,18,08/18/2020
24,93,09/04/2020,20,07/03/2020
25,87,10/09/2020,20,10/13/2020
26,72,09/18/2020,10,05/31/2013
27,78,10/16/2020,7,11/23/2012
28,91,09/15/2020,9,09/03/2013
29,90,09/18/2020,7,01/01/2013
30,83,08/04/2020,7,06/18/2013
31,102,09/08/2020,12,09/06/2013
32,80,10/16/2020,3,12/28/2012
33,86,07/24/2020,8,09/24/2013
34,84,10/27/2020,10,09/20/2013
35,85,07/31/2020,5,03/19/2013
36,76,09/25/2020,13,05/28/2013
37,79,09/25/2020,7,08/16/2013
38,90,10/02/2020,11,09/27/2013
39,87,10/06/2020,9,07/30/2013
40,70,07/03/2020,5,08/13/2013
41,86,09/18/2020,6,08/06/2013
42,82,09/11/2020,11,07/26/2013
43,76,09/29/2020,6,04/30/2013
44,83,10/23/2020,8,03/08/2013
45,79,10/13/2020,10,08/31/2012
46,88,10/27/2020,9,10/11/2013
47,73,10/02/2020,0,--
48,96,09/25/2020,0,--
49,85,10/02/2020,0,--
50,76,10/16/2020,0,--
51,85,05/29/2020,0,--
52,66,10/16/2020,0,--
53,85,09/04/2020,0,--
54,76,10/20/2020,0,--
55,60,09/22/2020,0,--
56,82,09/11/2020,0,--
57,52,10/20/2020,0,--
58,55,10/20/2020,0,--
59,47,10/06/2020,0,--
60,46,10/23/2020,0,--
61,40,05/08/2020,0,--
62,57,10/27/2020,0,--
63,44,08/21/2020,0,--
64,48,10/09/2020,0,--
65,39,04/14/2020,0,--
66,52,10/20/2020,0,--
67,36,09/29/2020,0,--
68,50,10/02/2020,0,--
69,41,10/23/2020,0,--
70,52,10/13/2020,0,--
71,22,08/04/2017,0,--
72,20,09/05/2017,0,--
73,31,10/20/2017,0,--
74,30,09/29/2017,0,--
75,25,09/26/2017,0,--